# IPTV直播源列表
# 生成时间: 2025-12-09 09:23:21
# 格式: 频道名称,播放URL
# 按分组排列

# 频道分类: 4K频道,央视频道,卫视频道,北京专属频道,山东专属频道,港澳频道,电影频道,儿童频道,iHOT频道,综合频道,体育频道,剧场频道,其他频道

#央视频道#,genre#
CETV4,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000011000031126/1.m3u8
CETV4,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000011000031126/1.m3u8

#卫视频道#,genre#
湖南卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000030452/1.m3u8
湖南卫视,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000010000030452/1.m3u8
湖南卫视,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000010000030452/1.m3u8
湖南卫视,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221226698/1.m3u8
浙江卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000017320/1.m3u8
浙江卫视,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000010000017320/1.m3u8
浙江卫视,http://[2409:8087:1e01:23::20]:8112/000000001000/5000000010000017320/1.m3u8
浙江卫视,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000010000017320/1.m3u8
浙江卫视,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221226690/1.m3u8
江苏卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000018509/1.m3u8
江苏卫视,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000010000018509/1.m3u8
江苏卫视,http://[2409:8087:1e01:23::20]:8112/000000001000/5000000010000018509/1.m3u8
江苏卫视,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000010000018509/1.m3u8
江苏卫视,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221226692/1.m3u8
东方卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000014098/1.m3u8
东方卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000032246/1.m3u8
东方卫视,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000004000014098/1.m3u8
东方卫视,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000010000032246/1.m3u8
东方卫视,http://[2409:8087:1e01:23::20]:8112/000000001000/5000000004000014098/1.m3u8
东方卫视,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000010000032246/1.m3u8
东方卫视,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221226734/1.m3u8
深圳卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000024026/1.m3u8
深圳卫视,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000010000024026/1.m3u8
深圳卫视,http://[2409:8087:1e01:23::20]:8112/000000001000/5000000010000024026/1.m3u8
深圳卫视,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000010000024026/1.m3u8
深圳卫视,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221226688/1.m3u8
北京卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000011502/1.m3u8
北京卫视,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000010000011502/1.m3u8
北京卫视,http://[2409:8087:1e01:23::20]:8112/000000001000/5000000010000011502/1.m3u8
北京卫视,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000010000011502/1.m3u8
北京卫视,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221226719/1.m3u8
广东卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000030417/1.m3u8
广东卫视,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000010000030417/1.m3u8
广东卫视,http://[2409:8087:1e01:23::20]:8112/000000001000/5000000010000030417/1.m3u8
广东卫视,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221227161/1.m3u8
广西卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000006000040014/1.m3u8
广西卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031118/1.m3u8
广西卫视,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000006000040014/1.m3u8
