🕘️更新时间,#genre#
CCTV14,http://47.119.24.76:59093/624878440
CCTV14,http://rihou.cc:555/tv/[mg]CCTV-14
CCTV14,http://139.155.89.87:1000/624878440
CCTV14,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV14,http://117.63.79.182:1234/624878440
CCTV14,http://182.61.15.47:80/624878440
CCTV14,http://116.52.173.172:1234/624878440
CCTV14,http://59.110.175.70:10000/624878440
CCTV14,http://110.154.192.81:7788/624878440
CCTV14,http://114.254.38.234:8888/rtp/239.3.1.65:8132$北京联通11
CCTV15,http://204.12.221.218:8181/3m1080p/cctv15.m3u8
CCTV15,https://zby.130519.xyz/PLTV/11/224/3221226147/index.m3u8
CCTV15,http://124.128.73.58:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://116.9.204.242:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://120.211.62.180:8000/hls/15/index.m3u8
CCTV15,http://bztv.tvbus.cc:8081/cdnlive/cctv15.m3u8
CCTV15,http://219.147.245.238:25480/newlive/live/hls/16/live.m3u8
CCTV15,http://113.57.140.161:10081/newlive/live/hls/16/live.m3u8
CCTV15,http://smartzhu.cn:1234/673168223
CCTV15,http://chen.ccwu.cc:1234/673168223
CCTV15,http://2280.eu.org:1234/673168223
CCTV15,http://112.30.73.119:9901/tsfile/live/1418_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://120.76.248.139/live/bfgd/4200000133.m3u8
CCTV15,http://223.167.209.88:1234/673168223
CCTV15,http://120.4.126.153:1234/673168223
CCTV15,http://47.119.24.76:59093/673168223
CCTV15,http://rihou.cc:555/tv/[mg]CCTV-15
CCTV15,http://139.155.89.87:1000/673168223
CCTV15,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV15,http://59.110.175.70:10000/673168223
CCTV15,http://111.231.6.102:1234/673168223
CCTV15,http://182.61.15.47:80/673168223
CCTV15,http://117.63.79.182:1234/673168223
CCTV15,http://116.52.173.172:1234/673168223
CCTV15,http://114.254.38.234:8888/rtp/239.3.1.153:8136$北京联通11
CCTV16,http://207.56.13.146:81/cdnlive/cctv16.m3u8
CCTV16,https://zby.130519.xyz/PLTV/11/224/3221226120/index.m3u8
CCTV16,https://hls-gateway.vpstv.net/streams/709089.m3u8
CCTV16,http://219.147.245.238:25480/newlive/live/hls/17/live.m3u8
CCTV16,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16
CCTV16,http://bztv.tvbus.cc:8081/cdnlive/cctv16.m3u8
CCTV16,http://114.254.38.234:8888/rtp/239.3.1.184:8001$北京联通11
